会社コード,業種名,和文社名,住所,lat,lon,エリア
200873,電気機器,ビシェイ・プレシジョン・フォイル（株）,東京都千代田区内神田１－２－１０　羽衣ビル２階,35.6906422,139.7650882,-
200886,その他卸売,ＵＰＭキュンメネ・ジャパン（株）,東京都千代田区永田町２－１４－２　山王グランドビル４階,35.6764907,139.7382988,-
200896,機械卸売,日本プラッサー（株）,東京都豊島区駒込１－３３－１,35.7361409,139.7485181,-
200897,鉄鋼・金属卸売,プランゼージャパン（株）,東京都港区六本木１－９－１０　アークヒルズ　仙石山森タワー　４１階,35.6634093,139.741803,虎ノ門・六本木
200902,その他卸売,日本ベルックス（株）,東京都渋谷区千駄ヶ谷１－２３－１４　ベニーリーフビル,35.6794861,139.7087562,-
200908,輸送用機器卸売,日本ＳＡＦホランド（株）,東京都渋谷区渋谷１－９－８　朝日生命宮益坂ビル８階,35.6601936,139.7045798,-
200909,機械,日本ボールドウィン（株）,東京都港区芝浦４－９－２５　芝浦スクエアビル１１階,35.6399623,139.7459685,-
200948,その他卸売,レヨニャー・Ａ・Ｍ・ファー・イースト・リミテッド（日本支社）,東京都港区西新橋１－１８－６　クロスオフィス内幸町,35.6677834,139.7533903,虎ノ門・六本木
200954,電気機器卸売,日本ワイドミュラー（株）,東京都品川区東品川２－２－８　スフィアタワー天王洲８階,35.6229184,139.7496359,-
200976,精密機器卸売,ハイデンハイン（株）,東京都千代田区麹町３－２　ヒューリック麹町ビル９階,35.6842245,139.7381791,-
200978,食料品卸売,ハイネケン・キリン（株）,東京都港区六本木４－２－４５　高會堂ビル,35.665975,139.7343473,虎ノ門・六本木
200982,食料品,ハーゲンダッツジャパン（株）,東京都目黒区上目黒２－１－１　中目黒ＧＴタワー５階,35.6436278,139.6989839,-
200986,化学,シムライズ（株）,東京都港区芝３－３２－３,35.6509457,139.7479549,-
200993,ガラス・土石卸売,バカラパシフィック（株）,東京都港区虎ノ門１－２－８　虎ノ門琴平タワー２１階,35.6695311,139.7483983,虎ノ門・六本木
200997,他サービス,（株）バーソン・コーン＆ウルフ・ジャパン,東京都渋谷区恵比寿４－２０－３　恵比寿ガーデンプレイスタワー３０階,35.6422106,139.7134456,-
200999,機械,ムンタース（株）,東京都板橋区舟渡３－２７－２,35.7956501,139.6841445,-
201004,他サービス,ＰＲＧ（株）,東京都港区海岸２－２－６　ＤＳ海岸ビル６階,35.6485949,139.7577409,-
201029,その他卸売,（株）バリー・ジャパン,東京都中央区銀座１－１９－７　銀座一丁目イーストビル６階,35.6734503,139.7712383,-
201035,化学卸売,ビックケミー・ジャパン（株）,東京都新宿区市谷本村町３－２９　ＦＯＲＥＣＡＳＴ市ヶ谷６階,35.6910897,139.7325912,-
201050,機械卸売,ファイク・ジャパン合同会社,東京都渋谷区渋谷２－７－５,35.6603245,139.7078589,-
201067,食料品卸売,フィリップ・モリス・ジャパン合同会社,東京都千代田区永田町２－１１－１　山王パークタワー２２階,35.6731479,139.7406938,-
201085,化学,（株）イメリスミネラルズ・ジャパン,東京都品川区東品川４－１２－１　品川シーサイドサウスタワー１１階,35.6084321,139.7478793,-
201099,鉄鋼・金属卸売,マテリオンジャパン（株）,東京都千代田区神田神保町３－９　幸保ビル,35.6953222,139.7540875,-
201105,化学卸売,ＩＣＬ　ＪＡＰＡＮ（株）,東京都文京区後楽２－２－２２　住友不動産飯田橋ビル２号館ウイング４階,35.7040152,139.7459032,-
201120,化学卸売,ヘルム・ヤーパン（株）,東京都港区赤坂９－７－１,35.6662186,139.7303961,虎ノ門・六本木
201126,鉄鋼・金属卸売,ベカルトジャパン（株）,東京都中央区京橋１－２－５　京橋ＴＤビル４階,35.6788546,139.770759,日八京
201131,輸送機器,ギャレットモーションジャパン（株）,東京都港区海岸１－１６－１　ニューピア竹芝サウスタワー１１階,35.6534029,139.7625892,-
201146,電気機器卸売,ボーズ合同会社,東京都港区六本木１－４－５　アークヒルズサウスタワー１３階,35.6656056,139.7394165,虎ノ門・六本木
201161,電気機器卸売,マキシム・ジャパン（株）,東京都品川区大崎１－６－４　大崎ニューシティ４号館２０階,35.6204106,139.7283008,-
201163,その他卸売,ウェスタンフォレストプロダクツジャパン（株）,東京都中央区日本橋茅場町２－３－６　宗和ビル７階,35.6788413,139.7777085,-
201167,損害保険,マーシュジャパン（株）,東京都港区赤坂９－７－１　ミッドタウン・タワー,35.6662315,139.7313051,虎ノ門・六本木
201168,その他卸売,マジョレット・ジャパン（株）,東京都港区東新橋１－２－７　丸進ビル,35.664497,139.7592382,-
201200,化学卸売,武蔵ホルト（株）,東京都千代田区五番町１４,35.6889458,139.7327031,-
201208,広告,エム・エム・エス・コミュニケーションズ（株）,東京都新宿区信濃町３５　信濃町煉瓦館４階,35.6812806,139.7191424,-
201223,投信・投資顧問,ドイチェ・アセット・マネジメント（株）,東京都千代田区永田町２－１１－１　山王パークタワー,35.6733558,139.7403363,-
201228,化学,スリーエムジャパンプロダクツ（株）,東京都品川区北品川６－７－２９,35.6237883,139.7338705,-
201250,その他卸売,（株）ウィルヘルムセン・シップス・サービス,東京都品川区北品川４－７－３５　御殿山トラストタワー１３階,35.6221677,139.7370215,-
201258,その他卸売,ストゥーラエンソジャパン（株）,東京都千代田区九段北３－２－１１　住友不動産九段北ビル２階,35.6930194,139.7409732,-
201269,鉱業,リオティントジャパン（株）,東京都千代田区麹町４－１　麹町ダイヤモンドビル８階,35.6836142,139.7378198,-
201283,精密機器卸売,レニショー（株）,東京都新宿区四谷４－２９－８　レニショービル,35.6880218,139.7142346,-
