会社コード,業種名,和文社名,住所,lat,lon
403270,コンサルティング,Ｋｉｎｇ　＆　Ｗｏｏｄ　Ｍａｌｌｅｓｏｎｓ法律事務所（外国法共同事業）,東京都千代田区丸の内３－２－３　丸の内二重橋ビル２１階,35.6777775,139.7615096
403272,コンサルティング,中国専利代理（香港）（有）（東京事務所）,東京都中央区京橋２－７－１４　ビュレックス京橋ビル８１１,35.6768545,139.7713181
403297,食料品卸売,デニッシュクラウン・ジャパン（株）,東京都港区虎ノ門５－１３－１　虎ノ門４０ＭＴビル９階,35.6633809,139.7457635
403298,繊維・衣服卸売,エコー・ジャパン（株）,東京都千代田区永田町２－１０－３　東急キャピトルタワー１３階,35.6739689,139.7407736
403301,広告,ネクスト・インク（株）,東京都港区三田２－１０－５　エルアルカサル三田２０２,35.6507137,139.7445459
403336,精密機器卸売,日本マーチン（株）,東京都文京区西片１－１５－１５,35.7121382,139.7530102
403338,投資業等,アリアンツ・グローバル・インベスターズ・ジャパン（株）,東京都港区六本木１－４－５　アークヒルズサウスタワー１９階,35.6656056,139.7394165
403342,機械卸売,トムラ・ジャパン（株）,東京都中央区八丁堀４－８－２　いちご桜橋ビル２階,35.6744204,139.7762107
403354,電気機器卸売,アルテミデ・ジャパン（株）,東京都渋谷区富ヶ谷１－４１－７　クリサンテ２０１３号室,35.6664994,139.690958
403358,精密機器卸売,日本リマ（株）,東京都品川区東品川２－３－１４,35.6241097,139.7505859
403368,石油・燃料卸売,日伯エタノール（株）,東京都中央区日本橋小舟町６－６　小倉ビル,35.687208,139.7779082
403401,情報・システム・ソフト,キングソフト（株）,東京都港区赤坂４－１５－１　赤坂ガーデンシティ４階,35.6742711,139.7314575
403407,他サービス,イー・エフ・エデュケーション・ファースト・ジャパン（株）,東京都渋谷区渋谷２－１５－１　渋谷クロスタワー２７階,35.6587806,139.705258
403415,電気機器卸売,クリーンエア・スカンジナビア（株）,東京都港区東新橋１－５－２　汐留シティセンター１０階,35.6654972,139.7608806
403422,食料品卸売,マルレ（株）,東京都港区西新橋２－１９－４　喜助西新橋ビル６階,35.6660464,139.7517618
403429,情報・システム・ソフト,エフティーエスイー・ジャパン・リミテッド（東京オフィス）,東京都千代田区大手町１－５－１　大手町ファーストスクエアイーストタワー１１階,35.6857768,139.7640245
403441,食料品,（株）ウィスク・イー,東京都千代田区神田和泉町１－８－１１　４階,35.699607,139.7773678
403468,投資業等,シーヴィーシー・アジア・パシフィック・ジャパン（株）,東京都千代田区霞が関３－２－５　霞が関ビル３２階,35.671183,139.7472406
410008,他サービス,（株）ウィリアムズ・リー・ジャパン,東京都品川区北品川４－７－３５　御殿山トラストタワー３階,35.6221677,139.7370215
410051,情報・システム・ソフト,（株）イーエムネットジャパン,東京都新宿区西新宿６－１０－１　日土地西新宿ビル,35.6946036,139.6907536
410054,情報・システム・ソフト,シーガルサイエンティフィックアジアパシフィック（株）（日本支社）,東京都中央区日本橋小伝馬町７－１０,35.6922109,139.7786732
410062,コンサルティング,ジャパン　インターカルチュラル　コンサルティング（日本支店）,東京都港区海岸１－２－３　汐留芝離宮ビル２１階,35.6572058,139.758637
410072,他サービス,プロハント（株）,東京都港区芝浦３－１－１　田町ステーションタワーＮ３０階,35.6447514,139.7493165
410073,電気機器卸売,ルートロンアスカ（株）,東京都港区赤坂２－２－１９　アドレスビル５階,35.6718472,139.7420111
410075,精密機器卸売,マシモジャパン（株）,東京都新宿区北新宿２－２１－１　新宿フロントタワー２４階,35.6960654,139.6893826
410095,精密機器卸売,アイデンティブ（株）,東京都港区芝４－３－２三田富洋６０８,35.6490944,139.7503944
410097,精密機器,エドモンド・オプティクス・ジャパン（株）,東京都文京区本駒込２－２９－２４　パシフィックスクエア千石４階,35.7286623,139.7445659
410122,不動産,ＥＳＲ（株）,東京都港区虎ノ門４－１－１７　神谷町プライムプレイスビル３階,35.6650759,139.7440868
410128,機械卸売,ＢＮＬジャパン（株）,東京都中央区日本橋箱崎町８－１　ヤマタネ箱崎ビル７階,35.678844,139.7850583
410133,電気機器卸売,フリアーシステムズジャパン（株）,東京都品川区上大崎２－１３－１７　目黒東急ビル５階,35.6351186,139.718504
410136,情報・システム・ソフト,エフアイエス・ジャパン（株）,東京都千代田区大手町１－３－１　ＪＡビル１２階,35.6887292,139.7627321
410146,他サービス,ベリシリコン（株）,東京都港区港南１－９－３６　アレア品川１３階,35.6300683,139.7413325
410151,他製造業,（株）本間ゴルフ,東京都港区六本木６－１０－１　六本木ヒルズ森タワー３５階,35.6607345,139.7292066
410188,情報・システム・ソフト,サイトコア（株）,東京都港区南青山２－１１－１６　ＭＥＴＬＩＦＥ青山ビル３階,35.671369,139.7213424
410193,投資業等,（株）ＫＫＲジャパン,東京都千代田区丸の内２－１－１　明治安田生命ビル１１階,35.6791077,139.7621731
410199,医薬品,スキャンポファーマ合同会社,東京都千代田区大手町２－６－４　常盤橋タワー９階,35.6844018,139.7704367
410200,他サービス,ペリージョンソンラボラトリーアクレディテーションインク（日本支社）,東京都渋谷区広尾１－１－３９　恵比寿プライムスクエアタワー９階,35.650109,139.7125988
410203,情報・システム・ソフト,イーロックジャパン（株）,東京都渋谷区神宮前２－１３－１８　木村ビル２階,35.6750606,139.7121799
410204,情報・システム・ソフト,ＡＤＬＩＮＫジャパン（株）,東京都千代田区神田鍛冶町３－７－４　ＫＤＸ神田駅前ビル４階,35.6931919,139.7704195
410208,情報・システム・ソフト,Ｍｏｎｏｔｙｐｅ（株）,東京都千代田区五番町１－９　ＭＧ市ヶ谷ビル５階,35.6908088,139.7364029
410225,情報・システム・ソフト,日本ニューメリカルアルゴリズムズグループ（株）,東京都中央区八丁堀４－９－９　八丁堀フロンティアビル２階,35.6742307,139.7776215
410234,他サービス,ＣＣＩＣ・ＪＡＰＡＮ（株）,東京都中央区日本橋茅場町２－７－１　ＣＣＩＣビル,35.679694,139.779225
410237,情報・システム・ソフト,Ｒｅｋｏｏ　Ｊａｐａｎ（株）,東京都渋谷区南平台町６－１１,35.6543031,139.6976571
410239,情報・システム・ソフト,アクロニス・ジャパン（株）,東京都港区六本木６－１０－１　六本木ヒルズ森タワー３７階,35.6607345,139.7292066
410240,輸送用機器卸売,マセラティジャパン（株）,東京都港区芝５－３６－７　三田ベルジュビル,35.6448154,139.7448458
410243,情報・システム・ソフト,アクロリンクス（株）,東京都渋谷区恵比寿４－２０－３　恵比寿ガーデンプレイスタワー１８階,35.6422106,139.7134456
410255,情報・システム・ソフト,日本ファインアート（株）,東京都新宿区西新宿６－１６－６　新宿タツミビル１０階,35.6917166,139.6877474
410256,情報・システム・ソフト,トラベルポート・サービセズ・リミテッド（日本支社）,東京都品川区大崎１－１１－２　ゲートシティ大崎イーストタワー２３階,35.6186335,139.7319993
410268,他製造業,ＤＲＥＡＭ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ　ＬＩＭＩＴＥＤ（日本支社）,東京都中央区湊２－２－８　ＣＫビル６階,35.6716541,139.7782519
